CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
3662,SUNBEAM CORP/FL/,199803,03-06-98,10-K405,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199805,5/15/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199808,8/13/1998,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199811,11-12-98,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199811,11/16/1998,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199811,11/25/1998,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199903,3/31/1999,NT 10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199905,05-11-99,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199905,5/17/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199906,06-11-99,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199908,8/16/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199908,8/19/1999,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199911,11-08-99,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199911,11-08-99,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199911,11-08-99,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199911,11/15/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199911,11/19/1999,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
3982,ALLIS CHALMERS ENERGY INC.,200603,3/22/2006,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
